model	augmentation	augmented_samples	epochs	batch_size	accuracy	mae	f1
bert-german	none	0	1	16	0.7067307692307693	0.3293269230769231	0.3355048859934853
bert-german	none	0	1	32	0.71875	0.3293269230769231	0.33497536945812806
bert-german	none	0	1	8	0.7307692307692307	0.30288461538461536	0.3474025974025974
bert-german	none	0	2	16	0.7451923076923077	0.29086538461538464	0.40247678018575844
bert-german	none	0	2	32	0.7451923076923077	0.29086538461538464	0.3767660910518053
bert-german	none	0	2	8	0.7548076923076923	0.28125	0.39393939393939387
bert-german	none	1472	1	16	0.7596153846153846	0.2644230769230769	0.38437499999999997
bert-german	none	1472	1	32	0.71875	0.31490384615384615	0.3269230769230769
bert-german	none	1472	1	8	0.7475961538461539	0.2932692307692308	0.3904761904761905
bert-german	none	1472	2	16	0.7451923076923077	0.2860576923076923	0.39811912225705326
bert-german	none	1472	2	32	0.7259615384615384	0.31009615384615385	0.38390092879256965
bert-german	none	1472	2	8	0.7379807692307693	0.30528846153846156	0.3975346687211094
bert-german	none	2944	1	16	0.7163461538461539	0.31490384615384615	0.37888198757763975
bert-german	none	2944	1	32	0.7427884615384616	0.2932692307692308	0.3704866562009419
bert-german	none	2944	1	8	0.7451923076923077	0.29086538461538464	0.3751937984496124
bert-german	none	2944	2	16	0.71875	0.3317307692307692	0.3993855606758832
bert-german	none	2944	2	32	0.75	0.29086538461538464	0.3746130030959752
bert-german	none	2944	2	8	0.7379807692307693	0.3076923076923077	0.3987730061349693
bert-german	single	1472	1	16	0.7115384615384616	0.35336538461538464	0.3639291465378422
bert-german	single	1472	1	32	0.7091346153846154	0.34375	0.3166397415185784
bert-german	single	1472	1	8	0.7379807692307693	0.31009615384615385	0.3886255924170616
bert-german	single	1472	2	16	0.7139423076923077	0.35096153846153844	0.3862928348909657
bert-german	single	1472	2	32	0.7283653846153846	0.31971153846153844	0.37947122861586313
bert-german	single	1472	2	8	0.7307692307692307	0.3269230769230769	0.40683229813664595
bert-german	single	2944	1	16	0.71875	0.33413461538461536	0.4161490683229814
bert-german	single	2944	1	32	0.7211538461538461	0.3269230769230769	0.3769968051118211
bert-german	single	2944	1	8	0.7091346153846154	0.34615384615384615	0.35257410296411856
bert-german	single	2944	2	16	0.7259615384615384	0.33413461538461536	0.39502332814930013
bert-german	single	2944	2	32	0.7259615384615384	0.33653846153846156	0.40993788819875776
bert-german	single	2944	2	8	0.7548076923076923	0.31009615384615385	0.3987730061349693
bert-german	multiple	1472	1	16	0.7403846153846154	0.30528846153846156	0.375796178343949
bert-german	multiple	1472	1	32	0.71875	0.3485576923076923	0.32038834951456313
bert-german	multiple	1472	1	8	0.7572115384615384	0.29086538461538464	0.40438871473354226
bert-german	multiple	1472	2	16	0.7379807692307693	0.3173076923076923	0.4160246533127889
bert-german	multiple	1472	2	32	0.7379807692307693	0.31009615384615385	0.4123076923076923
